               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.039725,             0.02748,            0.041585,             0.48404,             0.25342,             0.21067,             0.11929,            0.041646,             0.01489,            0.035413,            0.002872,            0.002872,            0.002872
                  38,            0.037731,            0.023217,            0.039778,             0.86853,             0.15218,             0.20123,             0.11922,            0.041636,            0.015221,            0.035102,            0.002674,            0.002674,            0.002674
                  39,            0.036465,            0.026564,            0.039961,             0.87143,             0.14269,              0.2137,             0.13517,            0.041833,            0.014918,             0.03487,            0.002476,            0.002476,            0.002476
                  40,            0.038215,            0.027477,             0.03694,             0.85936,              0.1628,             0.20934,              0.1301,            0.040587,             0.01482,            0.034753,            0.002278,            0.002278,            0.002278
                  41,            0.037045,            0.026193,            0.039101,             0.46086,             0.22599,             0.22511,             0.12888,            0.040789,            0.015196,            0.034748,             0.00208,             0.00208,             0.00208
                  42,            0.034176,            0.022891,            0.037721,             0.45411,             0.23038,             0.22092,             0.13517,             0.04043,            0.014946,            0.034758,            0.001882,            0.001882,            0.001882
                  43,            0.035342,            0.026791,             0.03724,             0.54776,              0.2412,              0.2194,             0.13669,              0.0397,            0.015055,            0.034765,            0.001684,            0.001684,            0.001684
                  44,            0.034763,            0.024589,            0.036887,             0.55212,             0.22427,             0.21279,             0.13435,             0.04051,            0.015441,            0.034842,            0.001486,            0.001486,            0.001486
                  45,            0.035665,            0.025664,            0.036869,             0.56811,             0.23534,             0.21486,              0.1412,            0.039913,            0.014976,            0.034575,            0.001288,            0.001288,            0.001288
                  46,            0.034475,            0.025719,            0.038259,             0.65413,             0.24199,             0.22761,             0.14571,            0.040327,            0.014741,            0.034387,             0.00109,             0.00109,             0.00109
                  47,             0.03527,            0.028309,            0.037967,             0.64182,             0.24802,             0.22731,             0.14494,            0.040558,            0.014634,            0.034263,            0.000892,            0.000892,            0.000892
                  48,            0.033317,            0.024879,            0.037178,              0.5703,             0.23837,             0.23732,             0.14089,            0.040242,            0.014617,            0.034567,            0.000694,            0.000694,            0.000694
                  49,            0.035012,              0.0267,            0.037749,             0.49873,             0.29649,             0.24108,             0.14552,            0.039977,            0.014625,            0.034445,            0.000496,            0.000496,            0.000496
